date,2020,last3,last1,home,away,2019
2021-01-01,4.5%,3.7%,3.6%,5.8%,2.4%,4.9%
2021-01-02,4.9%,4.0%,7.1%,5.8%,4.0%,4.9%
2021-01-03,4.9%,4.0%,7.1%,5.8%,4.0%,4.9%
2021-01-04,4.5%,4.3%,2.3%,4.9%,4.0%,4.9%
2021-01-05,4.5%,4.3%,2.3%,4.9%,4.0%,4.9%
2021-01-06,4.6%,4.9%,5.3%,4.9%,4.3%,4.9%
2021-01-07,4.4%,3.3%,2.2%,4.9%,3.9%,4.9%
2021-01-08,4.4%,3.3%,2.2%,4.9%,3.9%,4.9%
2021-01-09,4.3%,3.8%,3.7%,4.9%,3.9%,4.9%
2021-01-10,4.3%,3.8%,3.7%,4.9%,3.9%,4.9%
2021-01-11,4.1%,2.7%,2.2%,4.9%,3.6%,4.9%
2021-01-12,4.1%,2.7%,2.2%,4.9%,3.6%,4.9%
2021-01-13,4.1%,2.7%,2.2%,4.9%,3.6%,4.9%
2021-01-14,4.1%,2.7%,2.2%,4.9%,3.6%,4.9%
2021-01-15,4.1%,2.7%,2.2%,4.9%,3.6%,4.9%
2021-01-16,4.4%,4.7%,7.6%,4.9%,4.2%,4.9%
2021-01-17,4.4%,4.7%,7.6%,4.9%,4.2%,4.9%
2021-01-18,4.6%,5.5%,6.5%,4.9%,4.4%,4.9%
2021-01-19,4.5%,5.9%,3.4%,4.6%,4.4%,4.9%
2021-01-20,4.5%,5.9%,3.4%,4.6%,4.4%,4.9%
2021-01-21,4.5%,5.9%,3.4%,4.6%,4.4%,4.9%
2021-01-22,4.5%,5.9%,3.4%,4.6%,4.4%,4.9%
2021-01-23,4.5%,4.9%,4.7%,4.6%,4.5%,4.9%
2021-01-24,4.3%,3.2%,1.3%,4.1%,4.5%,4.9%
2021-01-25,4.3%,3.2%,1.3%,4.1%,4.5%,4.9%
2021-01-26,4.6%,4.8%,8.0%,4.7%,4.5%,4.9%
2021-01-27,4.6%,4.8%,8.0%,4.7%,4.5%,4.9%
2021-01-28,4.6%,4.8%,8.0%,4.7%,4.5%,4.9%
2021-01-29,4.6%,4.8%,8.0%,4.7%,4.5%,4.9%
2021-01-30,4.6%,4.8%,8.0%,4.7%,4.5%,4.9%
2021-01-31,4.4%,3.9%,2.3%,4.4%,4.5%,4.9%
2021-02-01,4.4%,3.9%,2.3%,4.4%,4.5%,4.9%
2021-02-02,4.3%,3.8%,1.1%,4.0%,4.5%,4.9%
2021-02-03,4.3%,3.8%,1.1%,4.0%,4.5%,4.9%
2021-02-04,4.2%,2.3%,3.4%,4.0%,4.5%,4.9%
2021-02-05,4.2%,2.3%,3.4%,4.0%,4.5%,4.9%
2021-02-06,4.3%,3.5%,6.2%,4.0%,4.6%,4.9%
2021-02-07,4.6%,6.8%,10.5%,4.0%,5.1%,4.9%
2021-02-08,4.6%,6.8%,10.5%,4.0%,5.1%,4.9%
2021-02-09,4.6%,7.3%,4.7%,4.0%,5.1%,4.9%
2021-02-10,4.6%,6.9%,3.5%,3.9%,5.1%,4.9%
2021-02-11,4.7%,7.3%,7.4%,4.2%,5.1%,4.9%
2021-02-12,4.7%,7.3%,7.4%,4.2%,5.1%,4.9%
2021-02-13,4.6%,4.7%,3.5%,4.1%,5.1%,4.9%
2021-02-14,4.6%,4.7%,3.5%,4.1%,5.1%,4.9%
2021-02-15,4.6%,4.7%,3.5%,4.1%,5.1%,4.9%
2021-02-16,4.5%,4.2%,2.2%,4.1%,4.9%,4.9%
2021-02-17,4.5%,4.2%,2.2%,4.1%,4.9%,4.9%
2021-02-18,4.7%,4.6%,8.5%,4.4%,4.9%,4.9%
2021-02-19,4.7%,4.6%,8.5%,4.4%,4.9%,4.9%
2021-02-20,4.7%,5.7%,6.9%,4.4%,5.0%,4.9%
2021-02-21,4.9%,7.9%,8.2%,4.7%,5.0%,4.9%
2021-02-22,4.9%,7.9%,8.2%,4.7%,5.0%,4.9%
2021-02-23,4.9%,6.8%,5.2%,4.7%,5.1%,4.9%
2021-02-24,4.9%,6.8%,5.2%,4.7%,5.1%,4.9%
2021-02-25,4.9%,6.0%,4.8%,4.7%,5.1%,4.9%
2021-02-26,4.9%,6.0%,4.8%,4.7%,5.1%,4.9%
2021-02-27,4.9%,4.9%,4.5%,4.7%,5.1%,4.9%
2021-02-28,4.9%,4.9%,4.5%,4.7%,5.1%,4.9%
2021-03-01,4.9%,4.9%,4.5%,4.7%,5.1%,4.9%
2021-03-02,4.8%,4.3%,3.4%,4.6%,5.1%,4.9%
2021-03-03,4.8%,4.3%,3.4%,4.6%,5.1%,4.9%
2021-03-04,5.0%,5.8%,9.6%,4.6%,5.3%,4.9%
2021-03-05,5.0%,5.8%,9.6%,4.6%,5.3%,4.9%
2021-03-06,5.0%,5.8%,9.6%,4.6%,5.3%,4.9%
2021-03-07,5.0%,5.8%,9.6%,4.6%,5.3%,4.9%
2021-03-08,5.0%,5.8%,9.6%,4.6%,5.3%,4.9%
2021-03-09,5.0%,5.8%,9.6%,4.6%,5.3%,4.9%
2021-03-10,5.0%,5.8%,9.6%,4.6%,5.3%,4.9%
2021-03-11,5.0%,5.8%,9.6%,4.6%,5.3%,4.9%
2021-03-12,5.0%,6.2%,5.8%,4.7%,5.3%,4.9%
2021-03-13,5.0%,6.4%,3.8%,4.7%,5.3%,4.9%
2021-03-14,5.0%,6.4%,3.8%,4.7%,5.3%,4.9%
2021-03-15,5.0%,5.9%,7.9%,4.8%,5.3%,4.9%
2021-03-16,5.0%,5.9%,7.8%,4.8%,5.3%,4.9%
2021-03-17,5.0%,5.4%,4.4%,4.8%,5.3%,4.9%
2021-03-18,5.0%,5.2%,3.4%,4.7%,5.3%,4.9%
2021-03-19,5.0%,5.2%,3.4%,4.7%,5.3%,4.9%
2021-03-20,4.9%,3.3%,2.2%,4.7%,5.1%,4.9%
2021-03-21,4.9%,3.3%,2.2%,4.7%,5.1%,4.9%
2021-03-22,5.0%,5.0%,9.8%,4.7%,5.4%,4.9%
2021-03-23,5.0%,4.9%,3.3%,4.7%,5.4%,4.9%
2021-03-24,5.0%,4.9%,3.3%,4.7%,5.4%,4.9%
2021-03-25,5.0%,5.6%,4.3%,4.7%,5.4%,4.9%
2021-03-26,5.0%,5.6%,4.3%,4.7%,5.4%,4.9%
2021-03-27,5.0%,5.6%,4.3%,4.7%,5.4%,4.9%
2021-03-28,4.9%,3.7%,3.5%,4.7%,5.3%,4.9%
2021-03-29,4.9%,3.7%,3.5%,4.7%,5.3%,4.9%
2021-03-30,4.9%,4.5%,5.4%,4.7%,5.3%,4.9%
2021-03-31,4.9%,4.5%,5.4%,4.7%,5.3%,4.9%
2021-04-01,4.9%,4.7%,4.9%,4.7%,5.3%,4.9%
2021-04-02,4.9%,4.7%,4.9%,4.7%,5.3%,4.9%
2021-04-03,4.9%,4.8%,3.8%,4.7%,5.2%,4.9%
2021-04-04,4.9%,4.8%,3.8%,4.7%,5.2%,4.9%
2021-04-05,4.9%,4.0%,3.2%,4.6%,5.2%,4.9%
2021-04-06,4.9%,4.0%,3.2%,4.6%,5.2%,4.9%
2021-04-07,4.9%,4.2%,5.7%,4.6%,5.2%,4.9%
2021-04-08,4.9%,4.2%,5.7%,4.6%,5.2%,4.9%
2021-04-09,4.9%,4.0%,3.1%,4.6%,5.1%,4.9%
2021-04-10,4.8%,3.3%,1.2%,4.6%,5.0%,4.9%
2021-04-11,4.8%,3.3%,1.2%,4.6%,5.0%,4.9%
2021-04-12,4.9%,4.6%,9.9%,4.6%,5.2%,4.9%
2021-04-13,4.9%,4.8%,3.5%,4.6%,5.1%,4.9%
2021-04-14,4.9%,4.8%,3.5%,4.6%,5.1%,4.9%
