date,2020,last3,last1,home,away,2019
2021-01-01,1.050,1.108,1.207,1.002,1.125,1.035
2021-01-02,1.019,1.037,0.862,1.002,1.037,1.035
2021-01-03,1.019,1.037,0.862,1.002,1.037,1.035
2021-01-04,1.034,1.064,1.129,1.032,1.037,1.035
2021-01-05,1.034,1.064,1.129,1.032,1.037,1.035
2021-01-06,1.039,1.018,1.074,1.032,1.046,1.035
2021-01-07,1.056,1.136,1.210,1.030,1.077,1.035
2021-01-08,1.056,1.136,1.210,1.030,1.077,1.035
2021-01-09,1.064,1.144,1.147,1.030,1.088,1.035
2021-01-10,1.064,1.144,1.147,1.030,1.088,1.035
2021-01-11,1.079,1.195,1.227,1.030,1.107,1.035
2021-01-12,1.079,1.195,1.227,1.030,1.107,1.035
2021-01-13,1.079,1.195,1.227,1.030,1.107,1.035
2021-01-14,1.079,1.195,1.227,1.030,1.107,1.035
2021-01-15,1.079,1.195,1.227,1.030,1.107,1.035
2021-01-16,1.075,1.133,1.040,1.030,1.098,1.035
2021-01-17,1.075,1.133,1.040,1.030,1.098,1.035
2021-01-18,1.076,1.112,1.080,1.030,1.096,1.035
2021-01-19,1.079,1.081,1.126,1.050,1.096,1.035
2021-01-20,1.079,1.081,1.126,1.050,1.096,1.035
2021-01-21,1.079,1.081,1.126,1.050,1.096,1.035
2021-01-22,1.079,1.081,1.126,1.050,1.096,1.035
2021-01-23,1.086,1.128,1.179,1.050,1.104,1.035
2021-01-24,1.071,1.053,0.852,1.018,1.104,1.035
2021-01-25,1.071,1.053,0.852,1.018,1.104,1.035
2021-01-26,1.067,1.010,0.999,1.015,1.104,1.035
2021-01-27,1.067,1.010,0.999,1.015,1.104,1.035
2021-01-28,1.067,1.010,0.999,1.015,1.104,1.035
2021-01-29,1.067,1.010,0.999,1.015,1.104,1.035
2021-01-30,1.067,1.010,0.999,1.015,1.104,1.035
2021-01-31,1.077,1.034,1.270,1.044,1.104,1.035
2021-02-01,1.077,1.034,1.270,1.044,1.104,1.035
2021-02-02,1.078,1.114,1.085,1.048,1.104,1.035
2021-02-03,1.078,1.114,1.085,1.048,1.104,1.035
2021-02-04,1.075,1.125,1.026,1.046,1.104,1.035
2021-02-05,1.075,1.125,1.026,1.046,1.104,1.035
2021-02-06,1.079,1.086,1.144,1.046,1.108,1.035
2021-02-07,1.084,1.123,1.199,1.046,1.115,1.035
2021-02-08,1.084,1.123,1.199,1.046,1.115,1.035
2021-02-09,1.079,1.102,0.969,1.039,1.115,1.035
2021-02-10,1.079,1.102,0.969,1.039,1.115,1.035
2021-02-11,1.089,1.164,1.340,1.062,1.115,1.035
2021-02-12,1.089,1.164,1.340,1.062,1.115,1.035
2021-02-13,1.088,1.127,1.086,1.064,1.115,1.035
2021-02-14,1.088,1.127,1.086,1.064,1.115,1.035
2021-02-15,1.088,1.127,1.086,1.064,1.115,1.035
2021-02-16,1.085,1.138,1.016,1.064,1.106,1.035
2021-02-17,1.085,1.138,1.016,1.064,1.106,1.035
2021-02-18,1.084,1.045,1.041,1.062,1.106,1.035
2021-02-19,1.084,1.045,1.041,1.062,1.106,1.035
2021-02-20,1.082,1.032,1.043,1.062,1.102,1.035
2021-02-21,1.086,1.093,1.193,1.071,1.102,1.035
2021-02-22,1.086,1.093,1.193,1.071,1.102,1.035
2021-02-23,1.089,1.140,1.184,1.071,1.107,1.035
2021-02-24,1.089,1.140,1.184,1.071,1.107,1.035
2021-02-25,1.091,1.172,1.144,1.076,1.107,1.035
2021-02-26,1.091,1.172,1.144,1.076,1.107,1.035
2021-02-27,1.088,1.111,0.996,1.071,1.107,1.035
2021-02-28,1.088,1.111,0.996,1.071,1.107,1.035
2021-03-01,1.088,1.111,0.996,1.071,1.107,1.035
2021-03-02,1.089,1.088,1.115,1.074,1.107,1.035
2021-03-03,1.089,1.088,1.115,1.074,1.107,1.035
2021-03-04,1.093,1.108,1.205,1.074,1.113,1.035
2021-03-05,1.093,1.108,1.205,1.074,1.113,1.035
2021-03-06,1.093,1.108,1.205,1.074,1.113,1.035
2021-03-07,1.093,1.108,1.205,1.074,1.113,1.035
2021-03-08,1.093,1.108,1.205,1.074,1.113,1.035
2021-03-09,1.093,1.108,1.205,1.074,1.113,1.035
2021-03-10,1.093,1.108,1.205,1.074,1.113,1.035
2021-03-11,1.093,1.108,1.205,1.074,1.113,1.035
2021-03-12,1.090,1.107,1.001,1.070,1.113,1.035
2021-03-13,1.085,1.042,0.910,1.062,1.113,1.035
2021-03-14,1.085,1.042,0.910,1.062,1.113,1.035
2021-03-15,1.086,1.012,1.119,1.065,1.113,1.035
2021-03-16,1.086,1.012,1.119,1.065,1.113,1.035
2021-03-17,1.089,1.083,1.213,1.072,1.113,1.035
2021-03-18,1.087,1.113,1.002,1.069,1.113,1.035
2021-03-19,1.087,1.113,1.002,1.069,1.113,1.035
2021-03-20,1.089,1.129,1.166,1.069,1.117,1.035
2021-03-21,1.089,1.129,1.166,1.069,1.117,1.035
2021-03-22,1.087,1.061,1.002,1.069,1.111,1.035
2021-03-23,1.084,1.044,0.951,1.064,1.111,1.035
2021-03-24,1.084,1.044,0.951,1.064,1.111,1.035
2021-03-25,1.082,0.978,0.982,1.061,1.111,1.035
2021-03-26,1.082,0.980,0.987,1.061,1.111,1.035
2021-03-27,1.082,0.980,0.987,1.061,1.111,1.035
2021-03-28,1.080,0.973,0.982,1.061,1.104,1.035
2021-03-29,1.080,0.973,0.982,1.061,1.104,1.035
2021-03-30,1.078,0.992,1.007,1.061,1.099,1.035
2021-03-31,1.078,0.992,1.007,1.061,1.099,1.035
2021-04-01,1.080,1.049,1.164,1.061,1.102,1.035
2021-04-02,1.080,1.049,1.164,1.061,1.102,1.035
2021-04-03,1.080,1.088,1.093,1.061,1.102,1.035
2021-04-04,1.080,1.088,1.093,1.061,1.102,1.035
2021-04-05,1.083,1.150,1.194,1.066,1.102,1.035
2021-04-06,1.083,1.150,1.194,1.066,1.102,1.035
