date,2020,last3,last1,home,away,2019
2019-01-01,100.4,94.7,89.0,100.9,99.9,102.9
2019-01-02,100.4,94.7,89.0,100.9,99.9,102.9
2019-01-03,100.0,91.3,84.0,100.0,99.9,102.9
2019-01-04,100.0,91.3,84.0,100.0,99.9,102.9
2019-01-05,100.4,96.3,116.0,100.8,99.9,102.9
2019-01-06,100.4,96.3,116.0,100.8,99.9,102.9
2019-01-07,100.4,100.0,100.0,100.8,99.9,102.9
2019-01-08,100.4,100.0,100.0,100.8,99.9,102.9
2019-01-09,100.4,100.0,100.0,100.8,99.9,102.9
2019-01-10,100.7,109.3,112.0,100.8,100.5,102.9
2019-01-11,100.7,109.3,112.0,100.8,100.5,102.9
2019-01-12,100.9,107.0,109.0,100.8,101.0,102.9
2019-01-13,100.9,107.7,102.0,100.8,101.0,102.9
2019-01-14,100.9,107.7,102.0,100.8,101.0,102.9
2019-01-15,100.9,107.7,102.0,100.8,101.0,102.9
2019-01-16,100.9,103.7,100.0,100.8,101.0,102.9
2019-01-17,100.9,103.7,100.0,100.8,101.0,102.9
2019-01-18,101.0,102.3,105.0,100.8,101.1,102.9
2019-01-19,101.0,102.3,105.0,100.8,101.1,102.9
2019-01-20,101.0,102.7,103.0,100.9,101.1,102.9
2019-01-21,101.0,102.7,103.0,100.9,101.1,102.9
2019-01-22,101.1,104.0,104.0,100.9,101.2,102.9
2019-01-23,101.1,104.0,104.0,100.9,101.2,102.9
2019-01-24,101.1,102.7,101.0,100.9,101.2,102.9
2019-01-25,101.1,102.7,101.0,100.9,101.2,102.9
2019-01-26,101.1,102.0,101.0,100.9,101.2,102.9
2019-01-27,101.1,102.0,101.0,100.9,101.2,102.9
2019-01-28,101.1,101.0,101.0,100.9,101.2,102.9
2019-01-29,101.1,101.0,101.0,100.9,101.2,102.9
2019-01-30,101.4,106.3,117.0,100.9,101.8,102.9
2019-01-31,101.4,107.7,105.0,100.9,102.0,102.9
2019-02-01,101.4,107.7,105.0,100.9,102.0,102.9
2019-02-02,101.4,107.7,105.0,100.9,102.0,102.9
2019-02-03,101.8,113.3,118.0,100.9,102.5,102.9
2019-02-04,101.8,113.3,118.0,100.9,102.5,102.9
2019-02-05,101.8,113.3,118.0,100.9,102.5,102.9
2019-02-06,101.8,113.3,118.0,100.9,102.5,102.9
2019-02-07,102.1,114.3,120.0,101.6,102.5,102.9
2019-02-08,102.1,114.3,120.0,101.6,102.5,102.9
2019-02-09,102.5,121.0,125.0,101.6,103.3,102.9
2019-02-10,102.9,123.3,125.0,102.5,103.3,102.9
2019-02-11,102.9,123.3,125.0,102.5,103.3,102.9
2019-02-12,102.8,116.3,99.0,102.4,103.3,102.9
2019-02-13,102.8,116.3,99.0,102.4,103.3,102.9
2019-02-14,103.2,115.3,122.0,103.0,103.3,102.9
2019-02-15,103.2,115.3,122.0,103.0,103.3,102.9
2019-02-16,103.2,115.3,122.0,103.0,103.3,102.9
2019-02-17,103.2,115.3,122.0,103.0,103.3,102.9
2019-02-18,103.2,115.3,122.0,103.0,103.3,102.9
2019-02-19,103.2,115.3,122.0,103.0,103.3,102.9
2019-02-20,103.2,115.3,122.0,103.0,103.3,102.9
2019-02-21,103.2,115.3,122.0,103.0,103.3,102.9
2019-02-22,103.2,115.3,122.0,103.0,103.3,102.9
2019-02-23,103.3,110.3,110.0,103.0,103.5,102.9
2019-02-24,103.7,119.3,126.0,103.8,103.5,102.9
2019-02-25,103.7,119.3,126.0,103.8,103.5,102.9
2019-02-26,103.7,114.0,106.0,103.9,103.5,102.9
2019-02-27,103.7,114.0,106.0,103.9,103.5,102.9
2019-02-28,103.8,113.7,109.0,103.9,103.7,102.9
2019-03-01,103.8,113.7,109.0,103.9,103.7,102.9
2019-03-02,104.8,127.7,168.0,103.9,105.7,102.9
2019-03-03,104.8,127.7,168.0,103.9,105.7,102.9
2019-03-04,105.0,131.7,118.0,104.3,105.7,102.9
2019-03-05,105.0,131.7,118.0,104.3,105.7,102.9
2019-03-06,104.9,127.3,96.0,104.3,105.4,102.9
2019-03-07,104.9,107.3,108.0,104.4,105.4,102.9
2019-03-08,104.9,107.3,108.0,104.4,105.4,102.9
2019-03-09,104.9,102.7,104.0,104.4,105.4,102.9
2019-03-10,104.9,102.7,104.0,104.4,105.4,102.9
2019-03-11,105.0,106.7,108.0,104.4,105.5,102.9
2019-03-12,105.0,106.7,108.0,104.4,105.5,102.9
2019-03-13,105.0,106.3,107.0,104.5,105.5,102.9
2019-03-14,105.0,106.3,107.0,104.5,105.5,102.9
2019-03-15,105.0,106.3,107.0,104.5,105.5,102.9
2019-03-16,105.2,112.0,121.0,104.5,105.9,102.9
2019-03-17,105.2,112.0,121.0,104.5,105.9,102.9
2019-03-18,105.2,110.0,102.0,104.5,105.8,102.9
2019-03-19,105.3,113.0,116.0,104.5,106.1,102.9
2019-03-20,105.3,113.0,116.0,104.5,106.1,102.9
2019-03-21,105.6,114.7,126.0,105.1,106.1,102.9
2019-03-22,105.6,114.7,126.0,105.1,106.1,102.9
2019-03-23,105.6,114.7,126.0,105.1,106.1,102.9
2019-03-24,105.3,108.3,83.0,104.5,106.1,102.9
2019-03-25,105.3,108.3,83.0,104.5,106.1,102.9
2019-03-26,105.3,108.3,83.0,104.5,106.1,102.9
2019-03-27,105.3,104.0,103.0,104.5,106.0,102.9
2019-03-28,105.2,94.7,98.0,104.3,106.0,102.9
2019-03-29,105.2,94.7,98.0,104.3,106.0,102.9
2019-03-30,105.2,94.7,98.0,104.3,106.0,102.9
2019-03-31,105.1,100.7,101.0,104.2,106.0,102.9
2019-04-01,105.1,100.7,101.0,104.2,106.0,102.9
2019-04-02,105.1,101.3,105.0,104.2,106.0,102.9
2019-04-03,105.1,101.3,105.0,104.2,106.0,102.9
2019-04-04,105.2,107.0,115.0,104.2,106.2,102.9
2019-04-05,105.2,107.0,115.0,104.2,106.2,102.9
2019-04-06,105.2,107.0,115.0,104.2,106.2,102.9
2019-04-07,105.1,105.3,96.0,104.0,106.2,102.9
2019-04-08,105.1,105.3,96.0,104.0,106.2,102.9
2019-04-09,105.1,105.3,96.0,104.0,106.2,102.9
