date,2020,last3,last1,home,away,2019
2013-05-28,6.8%,7.7%,5.3%,6.8%,6.8%,6.5%
2013-05-29,6.8%,7.7%,5.3%,6.8%,6.8%,6.5%
2013-05-30,6.8%,7.7%,5.3%,6.8%,6.8%,6.5%
2013-05-31,6.8%,7.7%,5.3%,6.8%,6.8%,6.5%
2013-06-01,6.8%,7.7%,5.3%,6.8%,6.8%,6.5%
2013-06-02,6.8%,7.7%,5.3%,6.8%,6.8%,6.5%
2013-06-03,6.8%,7.7%,5.3%,6.8%,6.8%,6.5%
2013-06-04,6.8%,7.7%,5.3%,6.8%,6.8%,6.5%
2013-06-05,6.8%,7.7%,5.3%,6.8%,6.8%,6.5%
2013-06-06,6.8%,7.7%,5.3%,6.8%,6.8%,6.5%
2013-06-07,6.8%,7.7%,5.3%,6.8%,6.8%,6.5%
2013-06-08,6.8%,7.7%,5.3%,6.8%,6.8%,6.5%
2013-06-09,6.8%,7.7%,5.3%,6.8%,6.8%,6.5%
2013-06-10,6.8%,7.7%,5.3%,6.8%,6.8%,6.5%
2013-06-11,6.8%,7.7%,5.3%,6.8%,6.8%,6.5%
2013-06-12,6.8%,7.7%,5.3%,6.8%,6.8%,6.5%
2013-06-13,6.8%,7.7%,5.3%,6.8%,6.8%,6.5%
2013-06-14,6.8%,7.7%,5.3%,6.8%,6.8%,6.5%
2013-06-15,6.8%,7.7%,5.3%,6.8%,6.8%,6.5%
2013-06-16,6.8%,7.7%,5.3%,6.8%,6.8%,6.5%
2013-06-17,6.8%,7.7%,5.3%,6.8%,6.8%,6.5%
2013-06-18,6.8%,7.7%,5.3%,6.8%,6.8%,6.5%
2013-06-19,6.8%,7.7%,5.3%,6.8%,6.8%,6.5%
2013-06-20,6.8%,7.7%,5.3%,6.8%,6.8%,6.5%
2013-06-21,6.8%,7.7%,5.3%,6.8%,6.8%,6.5%
2013-06-22,6.8%,7.7%,5.3%,6.8%,6.8%,6.5%
2013-06-23,6.8%,7.7%,5.3%,6.8%,6.8%,6.5%
2013-06-24,6.8%,7.7%,5.3%,6.8%,6.8%,6.5%
2013-06-25,6.8%,7.7%,5.3%,6.8%,6.8%,6.5%
2013-06-26,6.8%,7.7%,5.3%,6.8%,6.8%,6.5%
2013-06-27,6.8%,7.7%,5.3%,6.8%,6.8%,6.5%
2013-06-28,6.8%,7.7%,5.3%,6.8%,6.8%,6.5%
2013-06-29,6.8%,7.7%,5.3%,6.8%,6.8%,6.5%
2013-06-30,6.8%,7.7%,5.3%,6.8%,6.8%,6.5%
2013-07-01,6.8%,7.7%,5.3%,6.8%,6.8%,6.5%
2013-07-02,6.8%,7.7%,5.3%,6.8%,6.8%,6.5%
2013-07-03,6.8%,7.7%,5.3%,6.8%,6.8%,6.5%
2013-07-04,6.8%,7.7%,5.3%,6.8%,6.8%,6.5%
2013-07-05,6.8%,7.7%,5.3%,6.8%,6.8%,6.5%
2013-07-06,6.8%,7.7%,5.3%,6.8%,6.8%,6.5%
2013-07-07,6.8%,7.7%,5.3%,6.8%,6.8%,6.5%
2013-07-08,6.8%,7.7%,5.3%,6.8%,6.8%,6.5%
2013-07-09,6.8%,7.7%,5.3%,6.8%,6.8%,6.5%
2013-07-10,6.8%,7.7%,5.3%,6.8%,6.8%,6.5%
2013-07-11,6.8%,7.7%,5.3%,6.8%,6.8%,6.5%
2013-07-12,6.8%,7.7%,5.3%,6.8%,6.8%,6.5%
2013-07-13,6.8%,7.7%,5.3%,6.8%,6.8%,6.5%
2013-07-14,6.8%,7.7%,5.3%,6.8%,6.8%,6.5%
2013-07-15,6.8%,7.7%,5.3%,6.8%,6.8%,6.5%
2013-07-16,6.8%,7.7%,5.3%,6.8%,6.8%,6.5%
2013-07-17,6.8%,7.7%,5.3%,6.8%,6.8%,6.5%
2013-07-18,6.8%,7.7%,5.3%,6.8%,6.8%,6.5%
2013-07-19,6.8%,7.7%,5.3%,6.8%,6.8%,6.5%
2013-07-20,6.8%,7.7%,5.3%,6.8%,6.8%,6.5%
2013-07-21,6.8%,7.7%,5.3%,6.8%,6.8%,6.5%
2013-07-22,6.8%,7.7%,5.3%,6.8%,6.8%,6.5%
2013-07-23,6.8%,7.7%,5.3%,6.8%,6.8%,6.5%
2013-07-24,6.8%,7.7%,5.3%,6.8%,6.8%,6.5%
2013-07-25,6.8%,7.7%,5.3%,6.8%,6.8%,6.5%
2013-07-26,6.8%,7.7%,5.3%,6.8%,6.8%,6.5%
2013-07-27,6.8%,7.7%,5.3%,6.8%,6.8%,6.5%
2013-07-28,6.8%,7.7%,5.3%,6.8%,6.8%,6.5%
2013-07-29,6.8%,7.7%,5.3%,6.8%,6.8%,6.5%
2013-07-30,6.8%,7.7%,5.3%,6.8%,6.8%,6.5%
2013-07-31,6.8%,7.7%,5.3%,6.8%,6.8%,6.5%
2013-08-01,6.8%,7.7%,5.3%,6.8%,6.8%,6.5%
2013-08-02,6.8%,7.7%,5.3%,6.8%,6.8%,6.5%
2013-08-03,6.8%,7.7%,5.3%,6.8%,6.8%,6.5%
2013-08-04,6.8%,7.7%,5.3%,6.8%,6.8%,6.5%
2013-08-05,6.8%,7.7%,5.3%,6.8%,6.8%,6.5%
2013-08-06,6.8%,7.7%,5.3%,6.8%,6.8%,6.5%
2013-08-07,6.8%,7.7%,5.3%,6.8%,6.8%,6.5%
2013-08-08,6.8%,7.7%,5.3%,6.8%,6.8%,6.5%
2013-08-09,6.8%,7.7%,5.3%,6.8%,6.8%,6.5%
2013-08-10,6.8%,7.7%,5.3%,6.8%,6.8%,6.5%
2013-08-11,6.8%,7.7%,5.3%,6.8%,6.8%,6.5%
2013-08-12,6.8%,7.7%,5.3%,6.8%,6.8%,6.5%
2013-08-13,6.8%,7.7%,5.3%,6.8%,6.8%,6.5%
2013-08-14,6.8%,7.7%,5.3%,6.8%,6.8%,6.5%
2013-08-15,6.8%,7.7%,5.3%,6.8%,6.8%,6.5%
2013-08-16,6.8%,7.7%,5.3%,6.8%,6.8%,6.5%
2013-08-17,6.8%,7.7%,5.3%,6.8%,6.8%,6.5%
2013-08-18,6.8%,7.7%,5.3%,6.8%,6.8%,6.5%
2013-08-19,6.8%,7.7%,5.3%,6.8%,6.8%,6.5%
2013-08-20,6.8%,7.7%,5.3%,6.8%,6.8%,6.5%
2013-08-21,6.8%,7.7%,5.3%,6.8%,6.8%,6.5%
2013-08-22,6.8%,7.7%,5.3%,6.8%,6.8%,6.5%
2013-08-23,6.8%,7.7%,5.3%,6.8%,6.8%,6.5%
2013-08-24,6.8%,7.7%,5.3%,6.8%,6.8%,6.5%
2013-08-25,6.8%,7.7%,5.3%,6.8%,6.8%,6.5%
2013-08-26,6.8%,7.7%,5.3%,6.8%,6.8%,6.5%
2013-08-27,6.8%,7.7%,5.3%,6.8%,6.8%,6.5%
2013-08-28,6.8%,7.7%,5.3%,6.8%,6.8%,6.5%
2013-08-29,6.8%,7.7%,5.3%,6.8%,6.8%,6.5%
2013-08-30,6.8%,7.7%,5.3%,6.8%,6.8%,6.5%
2013-08-31,6.8%,7.7%,5.3%,6.8%,6.8%,6.5%
2013-09-01,6.8%,7.7%,5.3%,6.8%,6.8%,6.5%
2013-09-02,6.8%,7.7%,5.3%,6.8%,6.8%,6.5%
2013-09-03,6.8%,7.7%,5.3%,6.8%,6.8%,6.5%
2013-09-04,6.8%,7.7%,5.3%,6.8%,6.8%,6.5%
2013-09-05,6.8%,7.7%,5.3%,6.8%,6.8%,6.5%
2013-09-06,6.8%,7.7%,5.3%,6.8%,6.8%,6.5%
2013-09-07,6.8%,7.7%,5.3%,6.8%,6.8%,6.5%
2013-09-08,6.8%,7.7%,5.3%,6.8%,6.8%,6.5%
2013-09-09,6.8%,7.7%,5.3%,6.8%,6.8%,6.5%
2013-09-10,6.8%,7.7%,5.3%,6.8%,6.8%,6.5%
2013-09-11,6.8%,7.7%,5.3%,6.8%,6.8%,6.5%
2013-09-12,6.8%,7.7%,5.3%,6.8%,6.8%,6.5%
2013-09-13,6.8%,7.7%,5.3%,6.8%,6.8%,6.5%
2013-09-14,6.8%,7.7%,5.3%,6.8%,6.8%,6.5%
2013-09-15,6.8%,7.7%,5.3%,6.8%,6.8%,6.5%
2013-09-16,6.8%,7.7%,5.3%,6.8%,6.8%,6.5%
2013-09-17,6.8%,7.7%,5.3%,6.8%,6.8%,6.5%
2013-09-18,6.8%,7.7%,5.3%,6.8%,6.8%,6.5%
2013-09-19,6.8%,7.7%,5.3%,6.8%,6.8%,6.5%
2013-09-20,6.8%,7.7%,5.3%,6.8%,6.8%,6.5%
2013-09-21,6.8%,7.7%,5.3%,6.8%,6.8%,6.5%
2013-09-22,6.8%,7.7%,5.3%,6.8%,6.8%,6.5%
2013-09-23,6.8%,7.7%,5.3%,6.8%,6.8%,6.5%
2013-09-24,6.8%,7.7%,5.3%,6.8%,6.8%,6.5%
2013-09-25,6.8%,7.7%,5.3%,6.8%,6.8%,6.5%
2013-09-26,6.8%,7.7%,5.3%,6.8%,6.8%,6.5%
2013-09-27,6.8%,7.7%,5.3%,6.8%,6.8%,6.5%
2013-09-28,6.8%,7.7%,5.3%,6.8%,6.8%,6.5%
2013-09-29,6.8%,7.7%,5.3%,6.8%,6.8%,6.5%
2013-09-30,6.8%,7.7%,5.3%,6.8%,6.8%,6.5%
2013-10-01,6.8%,7.7%,5.3%,6.8%,6.8%,6.5%
2013-10-02,6.8%,7.7%,5.3%,6.8%,6.8%,6.5%
2013-10-03,6.8%,7.7%,5.3%,6.8%,6.8%,6.5%
2013-10-04,6.8%,7.7%,5.3%,6.8%,6.8%,6.5%
2013-10-05,6.8%,7.7%,5.3%,6.8%,6.8%,6.5%
2013-10-06,6.8%,7.7%,5.3%,6.8%,6.8%,6.5%
2013-10-07,6.8%,7.7%,5.3%,6.8%,6.8%,6.5%
2013-10-08,6.8%,7.7%,5.3%,6.8%,6.8%,6.5%
2013-10-09,6.8%,7.7%,5.3%,6.8%,6.8%,6.5%
2013-10-10,6.8%,7.7%,5.3%,6.8%,6.8%,6.5%
2013-10-11,6.8%,7.7%,5.3%,6.8%,6.8%,6.5%
2013-10-12,6.8%,7.7%,5.3%,6.8%,6.8%,6.5%
2013-10-13,6.8%,7.7%,5.3%,6.8%,6.8%,6.5%
2013-10-14,6.8%,7.7%,5.3%,6.8%,6.8%,6.5%
2013-10-15,6.8%,7.7%,5.3%,6.8%,6.8%,6.5%
2013-10-16,6.8%,7.7%,5.3%,6.8%,6.8%,6.5%
2013-10-17,6.8%,7.7%,5.3%,6.8%,6.8%,6.5%
2013-10-18,6.8%,7.7%,5.3%,6.8%,6.8%,6.5%
2013-10-19,6.8%,7.7%,5.3%,6.8%,6.8%,6.5%
2013-10-20,6.8%,7.7%,5.3%,6.8%,6.8%,6.5%
2013-10-21,6.8%,7.7%,5.3%,6.8%,6.8%,6.5%
2013-10-22,6.8%,7.7%,5.3%,6.8%,6.8%,6.5%
2013-10-23,6.8%,7.7%,5.3%,6.8%,6.8%,6.5%
2013-10-24,6.8%,7.7%,5.3%,6.8%,6.8%,6.5%
2013-10-25,6.8%,7.7%,5.3%,6.8%,6.8%,6.5%
2013-10-26,6.8%,7.7%,5.3%,6.8%,6.8%,6.5%
2013-10-27,6.8%,7.7%,5.3%,6.8%,6.8%,6.5%
2013-10-28,6.8%,7.7%,5.3%,6.8%,6.8%,6.5%
2013-10-29,--,--,--,--,--,6.8%
2013-10-30,10.3%,10.3%,10.3%,--,10.3%,6.8%
2013-10-31,10.3%,10.3%,10.3%,--,10.3%,6.8%
2013-11-01,7.5%,7.5%,4.7%,4.7%,10.3%,6.8%
2013-11-02,7.5%,7.5%,4.7%,4.7%,10.3%,6.8%
2013-11-03,7.4%,7.4%,7.2%,4.7%,8.7%,6.8%
2013-11-04,7.4%,7.4%,7.2%,4.7%,8.7%,6.8%
2013-11-05,7.4%,7.4%,7.2%,4.7%,8.7%,6.8%
2013-11-06,7.4%,7.4%,7.2%,4.7%,8.7%,6.8%
2013-11-07,6.5%,5.2%,3.6%,4.7%,7.0%,6.8%
2013-11-08,6.5%,5.2%,3.6%,4.7%,7.0%,6.8%
2013-11-09,7.3%,7.2%,10.7%,7.8%,7.0%,6.8%
2013-11-10,7.3%,7.2%,10.7%,7.8%,7.0%,6.8%
2013-11-11,7.3%,7.2%,10.7%,7.8%,7.0%,6.8%
2013-11-12,7.5%,7.7%,8.7%,8.1%,7.0%,6.8%
2013-11-13,7.5%,7.7%,8.7%,8.1%,7.0%,6.8%
2013-11-14,7.5%,7.7%,8.7%,8.1%,7.0%,6.8%
2013-11-15,7.5%,7.7%,8.7%,8.1%,7.0%,6.8%
2013-11-16,7.3%,8.3%,5.6%,8.1%,6.7%,6.8%
2013-11-17,7.0%,6.6%,5.5%,7.4%,6.7%,6.8%
2013-11-18,7.0%,6.6%,5.5%,7.4%,6.7%,6.8%
2013-11-19,6.6%,4.6%,2.8%,6.5%,6.7%,6.8%
2013-11-20,6.6%,4.6%,2.8%,6.5%,6.7%,6.8%
2013-11-21,6.6%,4.6%,2.8%,6.5%,6.7%,6.8%
2013-11-22,6.3%,4.0%,3.6%,6.5%,6.0%,6.8%
2013-11-23,6.4%,4.6%,7.5%,6.5%,6.3%,6.8%
2013-11-24,6.4%,4.6%,7.5%,6.5%,6.3%,6.8%
2013-11-25,6.0%,4.4%,2.0%,6.5%,5.7%,6.8%
2013-11-26,5.8%,4.4%,3.6%,6.5%,5.4%,6.8%
2013-11-27,5.8%,4.4%,3.6%,6.5%,5.4%,6.8%
2013-11-28,6.0%,4.8%,8.6%,6.5%,5.8%,6.8%
2013-11-29,6.0%,4.8%,8.6%,6.5%,5.8%,6.8%
2013-11-30,6.0%,4.8%,8.6%,6.5%,5.8%,6.8%
2013-12-01,6.0%,5.7%,5.0%,6.5%,5.7%,6.8%
2013-12-02,6.0%,5.7%,5.0%,6.5%,5.7%,6.8%
2013-12-03,5.7%,5.3%,2.9%,5.8%,5.7%,6.8%
2013-12-04,5.7%,5.3%,2.9%,5.8%,5.7%,6.8%
2013-12-05,5.7%,5.3%,2.9%,5.8%,5.7%,6.8%
2013-12-06,5.6%,3.6%,3.1%,5.4%,5.7%,6.8%
2013-12-07,5.6%,3.6%,3.1%,5.4%,5.7%,6.8%
2013-12-08,5.7%,4.3%,7.4%,5.7%,5.7%,6.8%
2013-12-09,5.7%,4.3%,7.4%,5.7%,5.7%,6.8%
2013-12-10,5.7%,4.3%,7.4%,5.7%,5.7%,6.8%
2013-12-11,5.7%,5.8%,6.8%,5.8%,5.7%,6.8%
2013-12-12,5.9%,7.6%,8.8%,5.8%,6.0%,6.8%
2013-12-13,5.9%,7.6%,8.8%,5.8%,6.0%,6.8%
2013-12-14,6.0%,7.8%,7.9%,5.8%,6.1%,6.8%
2013-12-15,5.9%,7.2%,4.8%,5.7%,6.1%,6.8%
2013-12-16,5.9%,7.2%,4.8%,5.7%,6.1%,6.8%
2013-12-17,5.8%,5.6%,4.0%,5.5%,6.1%,6.8%
2013-12-18,5.8%,5.6%,4.0%,5.5%,6.1%,6.8%
2013-12-19,5.9%,5.5%,7.6%,5.5%,6.3%,6.8%
2013-12-20,6.0%,6.4%,7.4%,5.5%,6.3%,6.8%
2013-12-21,6.0%,6.4%,7.4%,5.5%,6.3%,6.8%
2013-12-22,5.9%,6.3%,3.8%,5.4%,6.3%,6.8%
2013-12-23,5.9%,6.3%,3.8%,5.4%,6.3%,6.8%
2013-12-24,5.9%,6.3%,3.8%,5.4%,6.3%,6.8%
2013-12-25,5.9%,6.3%,3.8%,5.4%,6.3%,6.8%
2013-12-26,6.0%,7.0%,9.8%,5.4%,6.6%,6.8%
2013-12-27,6.0%,7.0%,9.8%,5.4%,6.6%,6.8%
2013-12-28,6.0%,7.0%,9.8%,5.4%,6.6%,6.8%
2013-12-29,6.1%,7.5%,9.0%,5.7%,6.6%,6.8%
2013-12-30,6.1%,7.5%,9.0%,5.7%,6.6%,6.8%
2014-01-01,6.3%,8.6%,4.9%,5.6%,6.9%,6.8%
2014-01-02,6.3%,8.6%,4.9%,5.6%,6.9%,6.8%
2014-01-03,6.3%,7.7%,6.3%,5.6%,6.9%,6.8%
2014-01-04,6.3%,7.7%,6.3%,5.6%,6.9%,6.8%
2014-01-05,6.4%,7.5%,11.3%,6.0%,6.9%,6.8%
2014-01-06,6.4%,7.5%,11.3%,6.0%,6.9%,6.8%
2014-01-07,6.4%,7.5%,11.3%,6.0%,6.9%,6.8%
2014-01-08,6.4%,7.8%,5.8%,6.0%,6.9%,6.8%
2014-01-09,6.4%,7.8%,5.8%,6.0%,6.9%,6.8%
2014-01-10,6.4%,7.8%,5.8%,6.0%,6.9%,6.8%
2014-01-11,6.4%,7.4%,4.8%,6.0%,6.8%,6.8%
2014-01-12,6.4%,5.6%,6.1%,6.0%,6.8%,6.8%
2014-01-13,6.4%,5.6%,6.1%,6.0%,6.8%,6.8%
2014-01-14,6.4%,6.3%,7.9%,6.1%,6.8%,6.8%
2014-01-15,6.4%,6.3%,7.9%,6.1%,6.8%,6.8%
2014-01-16,6.4%,7.0%,6.9%,6.1%,6.8%,6.8%
2014-01-17,6.4%,7.0%,6.9%,6.1%,6.8%,6.8%
2014-01-18,6.5%,7.5%,8.0%,6.1%,6.8%,6.8%
2014-01-19,6.5%,7.8%,8.6%,6.2%,6.8%,6.8%
2014-01-20,6.5%,7.8%,8.6%,6.2%,6.8%,6.8%
2014-01-21,6.7%,9.2%,10.9%,6.5%,6.8%,6.8%
2014-01-22,6.7%,9.2%,10.9%,6.5%,6.8%,6.8%
2014-01-23,6.6%,8.3%,4.8%,6.5%,6.7%,6.8%
2014-01-24,6.6%,8.3%,4.8%,6.5%,6.7%,6.8%
2014-01-25,6.6%,7.2%,5.2%,6.4%,6.7%,6.8%
2014-01-26,6.7%,6.8%,10.2%,6.4%,6.9%,6.8%
2014-01-27,6.7%,6.8%,10.2%,6.4%,6.9%,6.8%
2014-01-28,6.7%,8.2%,9.0%,6.5%,6.9%,6.8%
2014-01-29,6.7%,8.2%,9.0%,6.5%,6.9%,6.8%
2014-01-30,6.8%,9.5%,9.4%,6.5%,7.0%,6.8%
2014-01-31,6.8%,9.5%,9.4%,6.5%,7.0%,6.8%
2014-02-01,6.8%,9.5%,9.4%,6.5%,7.0%,6.8%
2014-02-02,6.7%,7.5%,4.1%,6.5%,6.9%,6.8%
2014-02-03,6.7%,7.5%,4.1%,6.5%,6.9%,6.8%
2014-02-04,6.8%,8.0%,10.1%,6.5%,7.0%,6.8%
2014-02-05,6.8%,7.5%,7.8%,6.5%,7.1%,6.8%
2014-02-06,6.8%,7.5%,7.8%,6.5%,7.1%,6.8%
2014-02-07,6.8%,8.6%,7.9%,6.5%,7.1%,6.8%
2014-02-08,6.8%,8.6%,7.9%,6.5%,7.1%,6.8%
2014-02-09,6.8%,8.6%,7.9%,6.5%,7.1%,6.8%
2014-02-10,6.9%,9.4%,12.5%,6.5%,7.3%,6.8%
2014-02-11,6.9%,9.4%,12.5%,6.5%,7.3%,6.8%
2014-02-12,6.9%,9.0%,6.3%,6.5%,7.3%,6.8%
2014-02-13,6.9%,9.0%,6.3%,6.5%,7.3%,6.8%
2014-02-14,6.9%,8.9%,7.5%,6.6%,7.3%,6.8%
2014-02-15,6.9%,8.9%,7.5%,6.6%,7.3%,6.8%
2014-02-16,6.9%,8.9%,7.5%,6.6%,7.3%,6.8%
2014-02-17,6.9%,8.9%,7.5%,6.6%,7.3%,6.8%
2014-02-18,6.9%,8.9%,7.5%,6.6%,7.3%,6.8%
2014-02-19,6.9%,8.9%,7.5%,6.6%,7.3%,6.8%
2014-02-20,6.9%,5.8%,3.9%,6.6%,7.2%,6.8%
2014-02-21,6.9%,5.8%,3.9%,6.6%,7.2%,6.8%
2014-02-22,6.9%,6.1%,7.2%,6.6%,7.2%,6.8%
2014-02-23,6.9%,6.1%,7.2%,6.6%,7.2%,6.8%
2014-02-24,6.8%,4.4%,1.9%,6.6%,7.0%,6.8%
2014-02-25,6.8%,4.4%,1.9%,6.6%,7.0%,6.8%
2014-02-26,6.9%,6.4%,10.1%,6.6%,7.1%,6.8%
2014-02-27,6.9%,6.5%,7.4%,6.6%,7.1%,6.8%
2014-02-28,6.9%,6.5%,7.4%,6.6%,7.1%,6.8%
2014-03-01,6.8%,7.7%,5.6%,6.6%,7.1%,6.8%
2014-03-02,6.8%,7.7%,5.6%,6.6%,7.1%,6.8%
2014-03-03,6.9%,7.3%,8.9%,6.7%,7.1%,6.8%
2014-03-04,6.9%,6.8%,6.0%,6.7%,7.0%,6.8%
2014-03-05,6.9%,6.8%,6.0%,6.7%,7.0%,6.8%
2014-03-06,6.8%,6.6%,4.9%,6.7%,7.0%,6.8%
2014-03-07,6.8%,6.6%,4.9%,6.7%,7.0%,6.8%
2014-03-08,6.8%,5.0%,4.0%,6.6%,7.0%,6.8%
2014-03-09,6.8%,5.0%,4.0%,6.6%,7.0%,6.8%
2014-03-10,6.9%,6.5%,10.7%,6.7%,7.0%,6.8%
2014-03-11,6.9%,6.5%,10.7%,6.7%,7.0%,6.8%
2014-03-12,6.8%,6.3%,4.1%,6.7%,7.0%,6.8%
2014-03-13,6.8%,6.3%,4.1%,6.7%,7.0%,6.8%
2014-03-14,6.8%,7.4%,7.3%,6.7%,7.0%,6.8%
2014-03-15,6.8%,7.4%,7.3%,6.7%,7.0%,6.8%
2014-03-16,6.8%,5.5%,5.1%,6.6%,7.0%,6.8%
2014-03-17,6.8%,5.5%,5.1%,6.6%,7.0%,6.8%
2014-03-18,6.8%,6.4%,7.0%,6.6%,7.0%,6.8%
2014-03-19,6.8%,6.4%,7.0%,6.6%,7.0%,6.8%
2014-03-20,6.8%,5.3%,3.8%,6.6%,6.9%,6.8%
2014-03-21,6.8%,5.3%,3.8%,6.6%,6.9%,6.8%
2014-03-22,6.8%,7.4%,11.4%,6.6%,7.0%,6.8%
2014-03-23,6.8%,6.9%,5.6%,6.6%,7.0%,6.8%
2014-03-24,6.8%,6.9%,5.6%,6.6%,7.0%,6.8%
2014-03-25,6.8%,8.0%,7.1%,6.6%,7.0%,6.8%
2014-03-26,6.8%,8.0%,7.1%,6.6%,7.0%,6.8%
2014-03-27,6.8%,8.0%,7.1%,6.6%,7.0%,6.8%
2014-03-28,6.8%,8.0%,7.1%,6.6%,7.0%,6.8%
2014-03-29,6.8%,5.9%,5.1%,6.6%,7.0%,6.8%
2014-03-30,6.8%,5.9%,5.1%,6.6%,7.0%,6.8%
2014-03-31,6.8%,6.5%,7.2%,6.6%,7.0%,6.8%
2014-04-01,6.8%,7.1%,8.8%,6.6%,7.0%,6.8%
2014-04-02,6.8%,7.1%,8.8%,6.6%,7.0%,6.8%
2014-04-03,6.9%,9.6%,13.0%,6.6%,7.2%,6.8%
2014-04-04,6.9%,9.6%,13.0%,6.6%,7.2%,6.8%
2014-04-05,7.0%,11.3%,12.2%,6.8%,7.2%,6.8%
2014-04-06,7.0%,10.6%,6.8%,6.8%,7.1%,6.8%
2014-04-07,7.0%,10.6%,6.8%,6.8%,7.1%,6.8%
2014-04-08,7.0%,10.6%,6.8%,6.8%,7.1%,6.8%
