date,2020,last3,last1,home,away,2019

2016-03-15,5.2%,4.3%,1.9%,4.9%,5.4%,5.9%

2016-03-16,5.2%,4.3%,1.9%,4.9%,5.4%,5.9%

2016-03-17,5.2%,5.8%,8.7%,4.9%,5.5%,5.9%

2016-03-18,5.2%,5.5%,5.7%,5.0%,5.5%,5.9%

2016-03-19,5.2%,5.5%,5.7%,5.0%,5.5%,5.9%

2016-03-20,5.2%,6.2%,3.9%,4.9%,5.5%,5.9%

2016-03-21,5.2%,6.2%,3.9%,4.9%,5.5%,5.9%

2016-03-22,5.3%,7.2%,11.3%,5.1%,5.5%,5.9%

2016-03-23,5.3%,7.2%,11.3%,5.1%,5.5%,5.9%

2016-03-24,5.3%,7.4%,6.6%,5.2%,5.5%,5.9%

2016-03-25,5.4%,9.0%,8.8%,5.2%,5.6%,5.9%

2016-03-26,5.4%,9.0%,8.8%,5.2%,5.6%,5.9%

2016-03-27,5.3%,5.7%,1.8%,5.2%,5.5%,5.9%

2016-03-28,5.3%,5.7%,1.8%,5.2%,5.5%,5.9%

2016-03-29,5.3%,4.7%,3.7%,5.1%,5.5%,5.9%

2016-03-30,5.3%,3.3%,4.5%,5.1%,5.5%,5.9%

2016-03-31,5.3%,3.3%,4.5%,5.1%,5.5%,5.9%

2016-04-01,5.3%,4.2%,4.5%,5.1%,5.4%,5.9%

2016-04-02,5.3%,4.2%,4.5%,5.1%,5.4%,5.9%

2016-04-03,5.3%,4.9%,5.8%,5.1%,5.4%,5.9%

2016-04-04,5.3%,6.5%,9.3%,5.1%,5.5%,5.9%

2016-04-05,5.3%,6.5%,9.3%,5.1%,5.5%,5.9%

2016-04-06,5.3%,6.9%,5.6%,5.1%,5.5%,5.9%

2016-04-07,5.3%,6.9%,5.6%,5.1%,5.5%,5.9%

2016-04-08,5.3%,6.8%,5.5%,5.1%,5.5%,5.9%

2016-04-09,5.3%,6.8%,5.5%,5.1%,5.5%,5.9%

2016-04-10,5.4%,6.1%,7.4%,5.2%,5.5%,5.9%

2016-04-11,5.4%,6.1%,7.4%,5.2%,5.5%,5.9%

2016-04-12,5.4%,5.9%,4.8%,5.2%,5.5%,5.9%

2016-04-13,5.4%,5.9%,4.8%,5.2%,5.5%,5.9%

2016-04-14,5.4%,6.7%,7.9%,5.3%,5.5%,5.9%

2016-04-15,5.4%,6.7%,7.9%,5.3%,5.5%,5.9%

2016-04-16,5.4%,6.7%,7.9%,5.3%,5.5%,5.9%

2016-04-17,5.4%,6.7%,7.9%,5.3%,5.5%,5.9%

2016-04-18,5.4%,6.7%,7.9%,5.3%,5.5%,5.9%

2016-04-19,5.4%,6.7%,7.9%,5.3%,5.5%,5.9%

2016-04-20,5.4%,6.7%,7.9%,5.3%,5.5%,5.9%

2016-04-21,5.4%,6.7%,7.9%,5.3%,5.5%,5.9%

2016-04-22,5.4%,6.7%,7.9%,5.3%,5.5%,5.9%

2016-04-23,5.4%,6.7%,7.9%,5.3%,5.5%,5.9%

2016-04-24,5.4%,6.7%,7.9%,5.3%,5.5%,5.9%

2016-04-25,5.4%,6.7%,7.9%,5.3%,5.5%,5.9%

2016-04-26,5.4%,6.7%,7.9%,5.3%,5.5%,5.9%

2016-04-27,5.4%,6.7%,7.9%,5.3%,5.5%,5.9%

2016-04-28,5.4%,6.7%,7.9%,5.3%,5.5%,5.9%

2016-04-29,5.4%,6.7%,7.9%,5.3%,5.5%,5.9%

2016-04-30,5.4%,6.7%,7.9%,5.3%,5.5%,5.9%

2016-05-01,5.4%,6.7%,7.9%,5.3%,5.5%,5.9%

2016-05-02,5.4%,6.7%,7.9%,5.3%,5.5%,5.9%

2016-05-03,5.4%,6.7%,7.9%,5.3%,5.5%,5.9%

2016-05-04,5.4%,6.7%,7.9%,5.3%,5.5%,5.9%

2016-05-05,5.4%,6.7%,7.9%,5.3%,5.5%,5.9%

2016-05-06,5.4%,6.7%,7.9%,5.3%,5.5%,5.9%

2016-05-07,5.4%,6.7%,7.9%,5.3%,5.5%,5.9%

2016-05-08,5.4%,6.7%,7.9%,5.3%,5.5%,5.9%

2016-05-09,5.4%,6.7%,7.9%,5.3%,5.5%,5.9%

2016-05-10,5.4%,6.7%,7.9%,5.3%,5.5%,5.9%

2016-05-11,5.4%,6.7%,7.9%,5.3%,5.5%,5.9%

2016-05-12,5.4%,6.7%,7.9%,5.3%,5.5%,5.9%

2016-05-13,5.4%,6.7%,7.9%,5.3%,5.5%,5.9%

2016-05-14,5.4%,6.7%,7.9%,5.3%,5.5%,5.9%

2016-05-15,5.4%,6.7%,7.9%,5.3%,5.5%,5.9%

2016-05-16,5.4%,6.7%,7.9%,5.3%,5.5%,5.9%

2016-05-17,5.4%,6.7%,7.9%,5.3%,5.5%,5.9%

2016-05-18,5.4%,6.7%,7.9%,5.3%,5.5%,5.9%

2016-05-19,5.4%,6.7%,7.9%,5.3%,5.5%,5.9%

2016-05-20,5.4%,6.7%,7.9%,5.3%,5.5%,5.9%

2016-05-21,5.4%,6.7%,7.9%,5.3%,5.5%,5.9%

2016-05-22,5.4%,6.7%,7.9%,5.3%,5.5%,5.9%

2016-05-23,5.4%,6.7%,7.9%,5.3%,5.5%,5.9%

2016-05-24,5.4%,6.7%,7.9%,5.3%,5.5%,5.9%

2016-05-25,5.4%,6.7%,7.9%,5.3%,5.5%,5.9%

2016-05-26,5.4%,6.7%,7.9%,5.3%,5.5%,5.9%

2016-05-27,5.4%,6.7%,7.9%,5.3%,5.5%,5.9%

2016-05-28,5.4%,6.7%,7.9%,5.3%,5.5%,5.9%

2016-05-29,5.4%,6.7%,7.9%,5.3%,5.5%,5.9%

2016-05-30,5.4%,6.7%,7.9%,5.3%,5.5%,5.9%

2016-05-31,5.4%,6.7%,7.9%,5.3%,5.5%,5.9%

2016-06-01,5.4%,6.7%,7.9%,5.3%,5.5%,5.9%

2016-06-02,5.4%,6.7%,7.9%,5.3%,5.5%,5.9%

2016-06-03,5.4%,6.7%,7.9%,5.3%,5.5%,5.9%

2016-06-04,5.4%,6.7%,7.9%,5.3%,5.5%,5.9%

2016-06-05,5.4%,6.7%,7.9%,5.3%,5.5%,5.9%

2016-06-06,5.4%,6.7%,7.9%,5.3%,5.5%,5.9%

2016-06-07,5.4%,6.7%,7.9%,5.3%,5.5%,5.9%

2016-06-08,5.4%,6.7%,7.9%,5.3%,5.5%,5.9%

2016-06-09,5.4%,6.7%,7.9%,5.3%,5.5%,5.9%

2016-06-10,5.4%,6.7%,7.9%,5.3%,5.5%,5.9%

2016-06-11,5.4%,6.7%,7.9%,5.3%,5.5%,5.9%

2016-06-12,5.4%,6.7%,7.9%,5.3%,5.5%,5.9%

2016-06-13,5.4%,6.7%,7.9%,5.3%,5.5%,5.9%

2016-06-14,5.4%,6.7%,7.9%,5.3%,5.5%,5.9%

2016-06-15,5.4%,6.7%,7.9%,5.3%,5.5%,5.9%

2016-06-16,5.4%,6.7%,7.9%,5.3%,5.5%,5.9%

2016-06-17,5.4%,6.7%,7.9%,5.3%,5.5%,5.9%

2016-06-18,5.4%,6.7%,7.9%,5.3%,5.5%,5.9%

2016-06-19,5.4%,6.7%,7.9%,5.3%,5.5%,5.9%

2016-06-20,5.4%,6.7%,7.9%,5.3%,5.5%,5.9%

2016-06-21,5.4%,6.7%,7.9%,5.3%,5.5%,5.9%

2016-06-22,5.4%,6.7%,7.9%,5.3%,5.5%,5.9%

2016-06-23,5.4%,6.7%,7.9%,5.3%,5.5%,5.9%

2016-06-24,5.4%,6.7%,7.9%,5.3%,5.5%,5.9%

2016-06-25,5.4%,6.7%,7.9%,5.3%,5.5%,5.9%

2016-06-26,5.4%,6.7%,7.9%,5.3%,5.5%,5.9%

2016-06-27,5.4%,6.7%,7.9%,5.3%,5.5%,5.9%

2016-06-28,5.4%,6.7%,7.9%,5.3%,5.5%,5.9%

2016-06-29,5.4%,6.7%,7.9%,5.3%,5.5%,5.9%

2016-06-30,5.4%,6.7%,7.9%,5.3%,5.5%,5.9%

2016-07-01,5.4%,6.7%,7.9%,5.3%,5.5%,5.9%

2016-07-02,5.4%,6.7%,7.9%,5.3%,5.5%,5.9%

2016-07-03,5.4%,6.7%,7.9%,5.3%,5.5%,5.9%

2016-07-04,5.4%,6.7%,7.9%,5.3%,5.5%,5.9%

2016-07-05,5.4%,6.7%,7.9%,5.3%,5.5%,5.9%

2016-07-06,5.4%,6.7%,7.9%,5.3%,5.5%,5.9%

2016-07-07,5.4%,6.7%,7.9%,5.3%,5.5%,5.9%

2016-07-08,5.4%,6.7%,7.9%,5.3%,5.5%,5.9%

2016-07-09,5.4%,6.7%,7.9%,5.3%,5.5%,5.9%

2016-07-10,5.4%,6.7%,7.9%,5.3%,5.5%,5.9%

2016-07-11,5.4%,6.7%,7.9%,5.3%,5.5%,5.9%

2016-07-12,5.4%,6.7%,7.9%,5.3%,5.5%,5.9%

2016-07-13,5.4%,6.7%,7.9%,5.3%,5.5%,5.9%

2016-07-14,5.4%,6.7%,7.9%,5.3%,5.5%,5.9%

2016-07-15,5.4%,6.7%,7.9%,5.3%,5.5%,5.9%

2016-07-16,5.4%,6.7%,7.9%,5.3%,5.5%,5.9%

2016-07-17,5.4%,6.7%,7.9%,5.3%,5.5%,5.9%

2016-07-18,5.4%,6.7%,7.9%,5.3%,5.5%,5.9%

2016-07-19,5.4%,6.7%,7.9%,5.3%,5.5%,5.9%

2016-07-20,5.4%,6.7%,7.9%,5.3%,5.5%,5.9%

2016-07-21,5.4%,6.7%,7.9%,5.3%,5.5%,5.9%

2016-07-22,5.4%,6.7%,7.9%,5.3%,5.5%,5.9%

2016-07-23,5.4%,6.7%,7.9%,5.3%,5.5%,5.9%

2016-07-24,5.4%,6.7%,7.9%,5.3%,5.5%,5.9%

2016-07-25,5.4%,6.7%,7.9%,5.3%,5.5%,5.9%

2016-07-26,5.4%,6.7%,7.9%,5.3%,5.5%,5.9%

2016-07-27,5.4%,6.7%,7.9%,5.3%,5.5%,5.9%

2016-07-28,5.4%,6.7%,7.9%,5.3%,5.5%,5.9%

2016-07-29,5.4%,6.7%,7.9%,5.3%,5.5%,5.9%

2016-07-30,5.4%,6.7%,7.9%,5.3%,5.5%,5.9%

2016-07-31,5.4%,6.7%,7.9%,5.3%,5.5%,5.9%

2016-08-01,5.4%,6.7%,7.9%,5.3%,5.5%,5.9%

2016-08-02,5.4%,6.7%,7.9%,5.3%,5.5%,5.9%

2016-08-03,5.4%,6.7%,7.9%,5.3%,5.5%,5.9%

2016-08-04,5.4%,6.7%,7.9%,5.3%,5.5%,5.9%

2016-08-05,5.4%,6.7%,7.9%,5.3%,5.5%,5.9%

2016-08-06,5.4%,6.7%,7.9%,5.3%,5.5%,5.9%

2016-08-07,5.4%,6.7%,7.9%,5.3%,5.5%,5.9%

2016-08-08,5.4%,6.7%,7.9%,5.3%,5.5%,5.9%

2016-08-09,5.4%,6.7%,7.9%,5.3%,5.5%,5.9%

2016-08-10,5.4%,6.7%,7.9%,5.3%,5.5%,5.9%

2016-08-11,5.4%,6.7%,7.9%,5.3%,5.5%,5.9%

2016-08-12,5.4%,6.7%,7.9%,5.3%,5.5%,5.9%

2016-08-13,5.4%,6.7%,7.9%,5.3%,5.5%,5.9%

2016-08-14,5.4%,6.7%,7.9%,5.3%,5.5%,5.9%

2016-08-15,5.4%,6.7%,7.9%,5.3%,5.5%,5.9%

2016-08-16,5.4%,6.7%,7.9%,5.3%,5.5%,5.9%

2016-08-17,5.4%,6.7%,7.9%,5.3%,5.5%,5.9%

2016-08-18,5.4%,6.7%,7.9%,5.3%,5.5%,5.9%

2016-08-19,5.4%,6.7%,7.9%,5.3%,5.5%,5.9%

2016-08-20,5.4%,6.7%,7.9%,5.3%,5.5%,5.9%

2016-08-21,5.4%,6.7%,7.9%,5.3%,5.5%,5.9%

2016-08-22,5.4%,6.7%,7.9%,5.3%,5.5%,5.9%

2016-08-23,5.4%,6.7%,7.9%,5.3%,5.5%,5.9%

2016-08-24,5.4%,6.7%,7.9%,5.3%,5.5%,5.9%

2016-08-25,5.4%,6.7%,7.9%,5.3%,5.5%,5.9%

2016-08-26,5.4%,6.7%,7.9%,5.3%,5.5%,5.9%

2016-08-27,5.4%,6.7%,7.9%,5.3%,5.5%,5.9%

2016-08-28,5.4%,6.7%,7.9%,5.3%,5.5%,5.9%

2016-08-29,5.4%,6.7%,7.9%,5.3%,5.5%,5.9%

2016-08-30,5.4%,6.7%,7.9%,5.3%,5.5%,5.9%

2016-08-31,5.4%,6.7%,7.9%,5.3%,5.5%,5.9%

2016-09-01,5.4%,6.7%,7.9%,5.3%,5.5%,5.9%

2016-09-02,5.4%,6.7%,7.9%,5.3%,5.5%,5.9%

2016-09-03,5.4%,6.7%,7.9%,5.3%,5.5%,5.9%

2016-09-04,5.4%,6.7%,7.9%,5.3%,5.5%,5.9%

2016-09-05,5.4%,6.7%,7.9%,5.3%,5.5%,5.9%

2016-09-06,5.4%,6.7%,7.9%,5.3%,5.5%,5.9%

2016-09-07,5.4%,6.7%,7.9%,5.3%,5.5%,5.9%

2016-09-08,5.4%,6.7%,7.9%,5.3%,5.5%,5.9%

