date,total-rebounds-per-game-year,total-rebounds-per-game-last-3,total-rebounds-per-game-last-1,total-rebounds-per-game-home,total-rebounds-per-game-away,total-rebounds-per-game-last-year
2013-01-01,52.0,51.0,59.0,52.2,51.6,55.9
2013-01-02,52.0,51.0,59.0,52.2,51.6,55.9
2013-01-03,51.7,52.3,44.0,52.2,51.0,55.9
2013-01-04,51.7,52.3,44.0,52.2,51.0,55.9
2013-01-05,51.8,52.3,54.0,52.2,51.2,55.9
2013-01-06,51.8,52.3,54.0,52.2,51.2,55.9
2013-01-07,51.8,52.3,54.0,52.2,51.2,55.9
2013-01-08,51.9,51.0,55.0,52.4,51.2,55.9
2013-01-09,51.9,51.0,55.0,52.4,51.2,55.9
2013-01-10,52.0,55.3,57.0,52.6,51.2,55.9
2013-01-11,52.0,55.3,57.0,52.6,51.2,55.9
2013-01-12,51.9,53.7,49.0,52.6,51.1,55.9
2013-01-13,51.8,51.3,48.0,52.4,51.1,55.9
2013-01-14,51.8,51.3,48.0,52.4,51.1,55.9
2013-01-15,52.2,54.7,67.0,53.1,51.1,55.9
2013-01-16,52.2,54.7,67.0,53.1,51.1,55.9
2013-01-17,52.5,58.3,60.0,53.1,51.6,55.9
2013-01-18,52.5,58.3,60.0,53.1,51.6,55.9
2013-01-19,52.5,60.3,54.0,53.1,51.8,55.9
2013-01-20,52.6,57.3,58.0,53.3,51.8,55.9
2013-01-21,52.6,57.3,58.0,53.3,51.8,55.9
2013-01-22,52.6,54.7,52.0,53.3,51.8,55.9
2013-01-23,52.6,54.7,52.0,53.3,51.8,55.9
2013-01-24,52.7,55.0,55.0,53.3,51.8,55.9
2013-01-25,52.7,55.0,55.0,53.3,51.8,55.9
2013-01-26,53.0,57.0,64.0,53.8,51.8,55.9
2013-01-27,52.7,54.3,44.0,53.8,51.3,55.9
2013-01-28,52.7,54.3,44.0,53.8,51.3,55.9
2013-01-29,52.8,54.7,56.0,53.8,51.3,55.9
2013-01-30,52.8,54.7,56.0,53.8,51.3,55.9
2013-01-31,52.8,50.3,51.0,53.8,51.3,55.9
2013-02-01,52.8,50.3,51.0,53.8,51.3,55.9
2013-02-02,52.5,49.3,41.0,53.8,50.8,55.9
2013-02-03,52.7,51.3,62.0,53.8,51.3,55.9
2013-02-04,52.7,51.3,62.0,53.8,51.3,55.9
2013-02-05,52.5,48.0,41.0,53.8,50.9,55.9
2013-02-06,52.5,48.0,41.0,53.8,50.9,55.9
2013-02-07,52.5,48.0,41.0,53.8,50.9,55.9
2013-02-08,52.3,49.0,44.0,53.8,50.6,55.9
2013-02-09,52.2,44.3,48.0,53.8,50.5,55.9
2013-02-10,52.2,44.3,48.0,53.8,50.5,55.9
2013-02-11,52.2,44.3,48.0,53.8,50.5,55.9
2013-02-12,52.3,49.3,56.0,53.9,50.5,55.9
2013-02-13,52.3,49.3,56.0,53.9,50.5,55.9
2013-02-14,52.4,54.3,59.0,53.9,50.8,55.9
2013-02-15,52.4,54.3,59.0,53.9,50.8,55.9
2013-02-16,52.4,54.3,59.0,53.9,50.8,55.9
2013-02-17,52.4,54.3,59.0,53.9,50.8,55.9
2013-02-18,52.4,54.3,59.0,53.9,50.8,55.9
2013-02-19,52.4,54.3,59.0,53.9,50.8,55.9
2013-02-20,52.5,57.7,58.0,53.9,51.1,55.9
2013-02-21,52.5,57.7,58.0,53.9,51.1,55.9
2013-02-22,52.4,54.7,47.0,53.7,51.1,55.9
2013-02-23,52.5,53.0,54.0,53.7,51.2,55.9
2013-02-24,52.5,53.0,54.0,53.7,51.2,55.9
2013-02-25,52.5,51.3,53.0,53.7,51.2,55.9
2013-02-26,52.5,51.3,53.0,53.7,51.2,55.9
2013-02-27,52.3,49.7,42.0,53.3,51.2,55.9
2013-02-28,52.3,49.7,42.0,53.3,51.2,55.9
