date,2020,last3,last1,home,away,2019
2021-01-01,54.6,58.0,54.0,55.3,53.5,49.5
2021-01-02,53.8,52.3,50.0,55.3,52.3,49.5
2021-01-03,53.8,52.3,50.0,55.3,52.3,49.5
2021-01-04,53.9,52.7,54.0,55.0,52.3,49.5
2021-01-05,53.9,52.7,54.0,55.0,52.3,49.5
2021-01-06,54.9,55.3,62.0,55.0,54.8,49.5
2021-01-07,54.4,55.7,51.0,55.0,54.0,49.5
2021-01-08,54.4,55.7,51.0,55.0,54.0,49.5
2021-01-09,53.5,52.7,45.0,55.0,52.5,49.5
2021-01-10,53.5,52.7,45.0,55.0,52.5,49.5
2021-01-11,52.6,46.7,44.0,55.0,51.3,49.5
2021-01-12,52.6,46.7,44.0,55.0,51.3,49.5
2021-01-13,52.6,46.7,44.0,55.0,51.3,49.5
2021-01-14,52.6,46.7,44.0,55.0,51.3,49.5
2021-01-15,52.6,46.7,44.0,55.0,51.3,49.5
2021-01-16,53.8,51.7,66.0,55.0,53.1,49.5
2021-01-17,53.8,51.7,66.0,55.0,53.1,49.5
2021-01-18,54.1,56.0,58.0,55.0,53.7,49.5
2021-01-19,54.2,60.0,56.0,55.2,53.7,49.5
2021-01-20,54.2,60.0,56.0,55.2,53.7,49.5
2021-01-21,54.2,60.0,56.0,55.2,53.7,49.5
2021-01-22,54.2,60.0,56.0,55.2,53.7,49.5
2021-01-23,53.7,53.3,46.0,55.2,52.9,49.5
2021-01-24,53.7,52.0,54.0,55.0,52.9,49.5
2021-01-25,53.7,52.0,54.0,55.0,52.9,49.5
2021-01-26,53.5,50.0,50.0,54.3,52.9,49.5
2021-01-27,53.4,49.7,50.0,54.3,52.8,49.5
2021-01-28,53.4,49.7,50.0,54.3,52.8,49.5
2021-01-29,53.4,49.7,50.0,54.3,52.8,49.5
2021-01-30,53.4,49.7,50.0,54.3,52.8,49.5
2021-01-31,53.0,50.0,46.0,53.2,52.8,49.5
2021-02-01,53.0,50.0,46.0,53.2,52.8,49.5
2021-02-02,52.9,49.3,52.0,53.1,52.8,49.5
2021-02-03,52.9,49.3,52.0,53.1,52.8,49.5
2021-02-04,52.5,47.3,44.0,52.2,52.8,49.5
2021-02-05,52.5,47.3,44.0,52.2,52.8,49.5
2021-02-06,52.1,46.7,44.0,52.2,52.0,49.5
2021-02-07,52.1,47.0,53.0,52.2,52.1,49.5
2021-02-08,52.1,47.0,53.0,52.2,52.1,49.5
