date,true-shooting-percentage-year,true-shooting-percentage-last-3,true-shooting-percentage-last-1,true-shooting-percentage-home,true-shooting-percentage-away,true-shooting-percentage-last-year
2013-01-01,101.4%,91.2%,79.0%,99.6%,104.0%,103.1%
2013-01-02,101.4%,91.2%,79.0%,99.6%,104.0%,103.1%
2013-01-03,101.6%,92.0%,108.0%,99.6%,104.3%,103.1%
2013-01-04,101.6%,92.0%,108.0%,99.6%,104.3%,103.1%
2013-01-05,101.7%,96.5%,105.0%,99.6%,104.3%,103.1%
2013-01-06,101.7%,96.5%,105.0%,99.6%,104.3%,103.1%
2013-01-07,101.7%,96.5%,105.0%,99.6%,104.3%,103.1%
2013-01-08,102.5%,113.3%,126.3%,101.1%,104.3%,103.1%
2013-01-09,102.5%,113.3%,126.3%,101.1%,104.3%,103.1%
2013-01-10,102.2%,107.2%,91.9%,100.6%,104.3%,103.1%
2013-01-11,102.2%,107.2%,91.9%,100.6%,104.3%,103.1%
2013-01-12,102.9%,114.2%,128.3%,100.6%,105.8%,103.1%
2013-01-13,102.2%,99.4%,82.7%,99.6%,105.8%,103.1%
2013-01-14,102.2%,99.4%,82.7%,99.6%,105.8%,103.1%
2013-01-15,102.2%,103.3%,102.5%,99.8%,105.8%,103.1%
2013-01-16,102.2%,103.3%,102.5%,99.8%,105.8%,103.1%
2013-01-17,102.3%,96.4%,103.8%,99.8%,105.7%,103.1%
2013-01-18,102.3%,96.4%,103.8%,99.8%,105.7%,103.1%
2013-01-19,102.5%,105.6%,110.9%,99.8%,106.0%,103.1%
2013-01-20,102.1%,100.3%,86.3%,99.1%,106.0%,103.1%
2013-01-21,102.1%,100.3%,86.3%,99.1%,106.0%,103.1%
2013-01-22,101.9%,97.6%,96.3%,99.0%,106.0%,103.1%
2013-01-23,101.9%,97.6%,96.3%,99.0%,106.0%,103.1%
2013-01-24,101.9%,94.6%,102.0%,99.1%,106.0%,103.1%
2013-01-25,101.9%,94.6%,102.0%,99.1%,106.0%,103.1%
2013-01-26,102.1%,101.6%,106.7%,99.4%,106.0%,103.1%
2013-01-27,101.9%,101.7%,95.2%,99.4%,105.5%,103.1%
2013-01-28,101.9%,101.7%,95.2%,99.4%,105.5%,103.1%
2013-01-29,102.0%,102.2%,103.5%,99.6%,105.5%,103.1%
2013-01-30,102.0%,102.2%,103.5%,99.6%,105.5%,103.1%
2013-01-31,102.1%,102.4%,107.0%,99.6%,105.5%,103.1%
2013-02-01,102.1%,102.4%,107.0%,99.6%,105.5%,103.1%
2013-02-02,102.0%,103.8%,100.6%,99.6%,105.3%,103.1%
2013-02-03,101.9%,100.4%,93.8%,99.6%,104.7%,103.1%
2013-02-04,101.9%,100.4%,93.8%,99.6%,104.7%,103.1%
2013-02-05,101.9%,98.9%,102.6%,99.6%,104.6%,103.1%
2013-02-06,101.9%,98.9%,102.6%,99.6%,104.6%,103.1%
2013-02-07,101.9%,98.9%,102.6%,99.6%,104.6%,103.1%
2013-02-08,101.8%,98.2%,98.3%,99.6%,104.3%,103.1%
2013-02-09,101.9%,102.2%,106.2%,99.6%,104.4%,103.1%
2013-02-10,101.9%,102.2%,106.2%,99.6%,104.4%,103.1%
2013-02-11,101.9%,102.2%,106.2%,99.6%,104.4%,103.1%
2013-02-12,101.9%,101.9%,101.7%,99.6%,104.4%,103.1%
2013-02-13,101.9%,101.9%,101.7%,99.6%,104.4%,103.1%
2013-02-14,101.6%,97.6%,84.1%,99.6%,103.7%,103.1%
2013-02-15,101.6%,97.6%,84.1%,99.6%,103.7%,103.1%
2013-02-16,101.6%,97.6%,84.1%,99.6%,103.7%,103.1%
2013-02-17,101.6%,97.6%,84.1%,99.6%,103.7%,103.1%
2013-02-18,101.6%,97.6%,84.1%,99.6%,103.7%,103.1%
2013-02-19,101.6%,97.6%,84.1%,99.6%,103.7%,103.1%
2013-02-20,101.6%,97.1%,104.3%,99.6%,103.7%,103.1%
2013-02-21,101.6%,97.1%,104.3%,99.6%,103.7%,103.1%
