date,2020,last3,last1,home,away,2019
2019-09-25,107.4%,98.6%,106.7%,106.0%,108.8%,105.1%
2019-09-26,107.4%,98.6%,106.7%,106.0%,108.8%,105.1%
2019-09-27,107.4%,98.6%,106.7%,106.0%,108.8%,105.1%
2019-09-28,107.4%,98.6%,106.7%,106.0%,108.8%,105.1%
2019-09-29,107.4%,98.6%,106.7%,106.0%,108.8%,105.1%
2019-09-30,107.4%,98.6%,106.7%,106.0%,108.8%,105.1%
2019-10-01,107.4%,98.6%,106.7%,106.0%,108.8%,105.1%
2019-10-02,107.4%,98.6%,106.7%,106.0%,108.8%,105.1%
2019-10-03,107.4%,98.6%,106.7%,106.0%,108.8%,105.1%
2019-10-04,107.4%,98.6%,106.7%,106.0%,108.8%,105.1%
2019-10-05,107.4%,98.6%,106.7%,106.0%,108.8%,105.1%
2019-10-06,107.4%,98.6%,106.7%,106.0%,108.8%,105.1%
2019-10-07,107.4%,98.6%,106.7%,106.0%,108.8%,105.1%
2019-10-08,107.4%,98.6%,106.7%,106.0%,108.8%,105.1%
2019-10-09,107.4%,98.6%,106.7%,106.0%,108.8%,105.1%
2019-10-10,107.4%,98.6%,106.7%,106.0%,108.8%,105.1%
2019-10-11,107.4%,98.6%,106.7%,106.0%,108.8%,105.1%
2019-10-12,107.4%,98.6%,106.7%,106.0%,108.8%,105.1%
2019-10-13,107.4%,98.6%,106.7%,106.0%,108.8%,105.1%
2019-10-14,107.4%,98.6%,106.7%,106.0%,108.8%,105.1%
2019-10-15,107.4%,98.6%,106.7%,106.0%,108.8%,105.1%
2019-10-16,107.4%,98.6%,106.7%,106.0%,108.8%,105.1%
2019-10-17,107.4%,98.6%,106.7%,106.0%,108.8%,105.1%
2019-10-18,107.4%,98.6%,106.7%,106.0%,108.8%,105.1%
2019-10-19,107.4%,98.6%,106.7%,106.0%,108.8%,105.1%
2019-10-20,107.4%,98.6%,106.7%,106.0%,108.8%,105.1%
2019-10-21,107.4%,98.6%,106.7%,106.0%,108.8%,105.1%
