date,2020,last3,last1,home,away,2019
2016-01-01,12.9%,15.1%,18.3%,12.1%,14.2%,12.9%
2016-01-02,12.7%,12.3%,7.5%,11.8%,14.2%,12.9%
2016-01-03,12.7%,12.3%,7.5%,11.8%,14.2%,12.9%
2016-01-04,12.7%,12.4%,10.5%,11.8%,13.9%,12.9%
2016-01-05,12.7%,12.4%,10.5%,11.8%,13.9%,12.9%
2016-01-06,12.7%,10.7%,13.9%,11.9%,13.9%,12.9%
2016-01-07,12.7%,10.7%,13.9%,11.9%,13.9%,12.9%
2016-01-08,12.7%,12.7%,13.6%,12.0%,13.9%,12.9%
2016-01-09,12.7%,12.7%,13.6%,12.0%,13.9%,12.9%
2016-01-10,12.9%,15.3%,18.3%,12.0%,14.3%,12.9%
2016-01-11,12.9%,15.3%,18.3%,12.0%,14.3%,12.9%
2016-01-12,13.0%,15.5%,14.4%,12.1%,14.3%,12.9%
2016-01-13,13.0%,15.9%,14.7%,12.1%,14.3%,12.9%
2016-01-14,13.0%,15.9%,14.7%,12.1%,14.3%,12.9%
2016-01-15,13.2%,16.0%,18.5%,12.1%,14.6%,12.9%
2016-01-16,13.1%,14.4%,8.9%,12.0%,14.6%,12.9%
2016-01-17,13.1%,14.4%,8.9%,12.0%,14.6%,12.9%
2016-01-18,13.1%,14.4%,8.9%,12.0%,14.6%,12.9%
2016-01-19,13.0%,12.8%,9.8%,12.0%,14.3%,12.9%
2016-01-20,13.0%,12.8%,9.8%,12.0%,14.3%,12.9%
2016-01-21,12.9%,9.0%,8.3%,11.9%,14.3%,12.9%
2016-01-22,12.9%,9.0%,8.3%,11.9%,14.3%,12.9%
2016-01-23,13.0%,11.7%,16.8%,11.9%,14.5%,12.9%
2016-01-24,12.9%,11.1%,7.7%,11.9%,14.1%,12.9%
2016-01-25,12.9%,11.1%,7.7%,11.9%,14.1%,12.9%
2016-01-26,12.9%,12.4%,12.2%,11.9%,14.1%,12.9%
2016-01-27,12.9%,12.4%,12.2%,11.9%,14.1%,12.9%
2016-01-28,12.9%,12.4%,12.2%,11.9%,14.1%,12.9%
2016-01-29,12.8%,9.9%,9.8%,11.9%,13.9%,12.9%
2016-01-30,12.8%,9.9%,9.8%,11.9%,13.9%,12.9%
2016-01-31,12.8%,9.9%,9.8%,11.9%,13.9%,12.9%
2016-02-01,12.7%,10.1%,8.4%,11.9%,13.7%,12.9%
2016-02-02,12.7%,10.5%,13.1%,11.9%,13.6%,12.9%
2016-02-03,12.7%,10.5%,13.1%,11.9%,13.6%,12.9%
2016-02-04,12.8%,12.2%,14.8%,11.9%,13.7%,12.9%
2016-02-05,12.8%,12.2%,14.8%,11.9%,13.7%,12.9%
2016-02-06,12.7%,12.4%,9.5%,11.9%,13.5%,12.9%
2016-02-07,12.7%,11.9%,11.6%,11.9%,13.4%,12.9%
2016-02-08,12.7%,11.9%,11.6%,11.9%,13.4%,12.9%
2016-02-09,12.6%,9.2%,6.7%,11.9%,13.2%,12.9%
2016-02-10,12.6%,9.2%,6.7%,11.9%,13.2%,12.9%
2016-02-11,12.6%,11.9%,17.2%,12.1%,13.2%,12.9%
2016-02-12,12.6%,11.9%,17.2%,12.1%,13.2%,12.9%
2016-02-13,12.6%,11.9%,17.2%,12.1%,13.2%,12.9%
2016-02-14,12.6%,11.9%,17.2%,12.1%,13.2%,12.9%
2016-02-15,12.6%,11.9%,17.2%,12.1%,13.2%,12.9%
2016-02-16,12.6%,11.9%,17.2%,12.1%,13.2%,12.9%
2016-02-17,12.6%,11.9%,17.2%,12.1%,13.2%,12.9%
2016-02-18,12.6%,11.9%,17.2%,12.1%,13.2%,12.9%
2016-02-19,12.6%,11.8%,11.3%,12.1%,13.1%,12.9%
2016-02-20,12.5%,12.1%,8.0%,11.9%,13.1%,12.9%
2016-02-21,12.5%,12.1%,8.0%,11.9%,13.1%,12.9%
2016-02-22,12.5%,9.1%,7.7%,11.8%,13.1%,12.9%
2016-02-23,12.5%,9.1%,7.7%,11.8%,13.1%,12.9%
2016-02-24,12.5%,9.1%,7.7%,11.8%,13.1%,12.9%
2016-02-25,12.5%,10.1%,14.4%,11.9%,13.1%,12.9%
2016-02-26,12.5%,10.1%,14.4%,11.9%,13.1%,12.9%
2016-02-27,12.6%,13.5%,17.9%,11.9%,13.3%,12.9%
2016-02-28,12.5%,13.6%,8.2%,11.8%,13.3%,12.9%
2016-02-29,12.5%,13.6%,8.2%,11.8%,13.3%,12.9%
2016-03-01,12.5%,13.6%,8.2%,11.8%,13.3%,12.9%
2016-03-02,12.5%,11.8%,9.1%,11.8%,13.2%,12.9%
2016-03-03,12.4%,8.1%,7.1%,11.8%,13.0%,12.9%
2016-03-04,12.4%,8.1%,7.1%,11.8%,13.0%,12.9%
2016-03-05,12.4%,8.1%,7.1%,11.8%,13.0%,12.9%
2016-03-06,12.5%,12.8%,21.5%,12.1%,13.0%,12.9%
2016-03-07,12.5%,12.8%,21.5%,12.1%,13.0%,12.9%
2016-03-08,12.6%,15.5%,17.8%,12.3%,13.0%,12.9%
2016-03-09,12.6%,15.5%,17.8%,12.3%,13.0%,12.9%
2016-03-10,12.6%,15.5%,17.8%,12.3%,13.0%,12.9%
2016-03-11,12.7%,19.4%,18.7%,12.3%,13.1%,12.9%
2016-03-12,12.8%,17.8%,16.9%,12.4%,13.1%,12.9%
2016-03-13,12.8%,17.8%,16.9%,12.4%,13.1%,12.9%
2016-03-14,12.8%,17.8%,16.9%,12.4%,13.1%,12.9%
2016-03-15,12.7%,15.0%,8.8%,12.4%,13.0%,12.9%
2016-03-16,12.7%,15.0%,8.8%,12.4%,13.0%,12.9%
2016-03-17,12.7%,13.9%,15.6%,12.4%,13.1%,12.9%
2016-03-18,12.7%,11.0%,8.2%,12.3%,13.1%,12.9%
2016-03-19,12.7%,11.0%,8.2%,12.3%,13.1%,12.9%
2016-03-20,12.7%,12.1%,12.3%,12.3%,13.1%,12.9%
2016-03-21,12.7%,12.1%,12.3%,12.3%,13.1%,12.9%
2016-03-22,12.6%,9.4%,8.1%,12.2%,13.1%,12.9%
2016-03-23,12.6%,9.4%,8.1%,12.2%,13.1%,12.9%
2016-03-24,12.5%,8.8%,6.1%,12.0%,13.1%,12.9%
2016-03-25,12.5%,7.3%,7.7%,12.0%,12.9%,12.9%
2016-03-26,12.5%,7.3%,7.7%,12.0%,12.9%,12.9%
2016-03-27,12.5%,8.7%,12.0%,12.0%,12.9%,12.9%
2016-03-28,12.5%,8.7%,12.0%,12.0%,12.9%,12.9%
2016-03-29,12.4%,9.0%,7.5%,11.9%,12.9%,12.9%
2016-03-30,12.4%,11.6%,15.4%,11.9%,13.0%,12.9%
2016-03-31,12.4%,11.6%,15.4%,11.9%,13.0%,12.9%
2016-04-01,12.5%,12.6%,16.4%,11.9%,13.1%,12.9%
2016-04-02,12.5%,12.6%,16.4%,11.9%,13.1%,12.9%
2016-04-03,12.5%,14.6%,12.1%,11.9%,13.1%,12.9%
2016-04-04,12.5%,13.6%,12.2%,11.9%,13.1%,12.9%
2016-04-05,12.5%,13.6%,12.2%,11.9%,13.1%,12.9%
2016-04-06,12.5%,14.3%,18.4%,11.9%,13.2%,12.9%
2016-04-07,12.5%,14.3%,18.4%,11.9%,13.2%,12.9%
2016-04-08,12.5%,14.7%,13.2%,11.9%,13.2%,12.9%
2016-04-09,12.5%,14.7%,13.2%,11.9%,13.2%,12.9%
2016-04-10,12.5%,14.2%,10.9%,11.9%,13.2%,12.9%
2016-04-11,12.5%,14.2%,10.9%,11.9%,13.2%,12.9%
2016-04-12,12.5%,11.1%,9.2%,11.9%,13.1%,12.9%
2016-04-13,12.5%,11.1%,9.2%,11.9%,13.1%,12.9%
2016-04-14,12.5%,11.8%,15.0%,11.9%,13.1%,12.9%
2016-04-15,12.5%,11.8%,15.0%,11.9%,13.1%,12.9%
2016-04-16,12.5%,11.8%,15.0%,11.9%,13.1%,12.9%
2016-04-17,12.5%,11.8%,15.0%,11.9%,13.1%,12.9%
2016-04-18,12.5%,11.8%,15.0%,11.9%,13.1%,12.9%
2016-04-19,12.5%,11.8%,15.0%,11.9%,13.1%,12.9%
2016-04-20,12.5%,11.8%,15.0%,11.9%,13.1%,12.9%
2016-04-21,12.5%,11.8%,15.0%,11.9%,13.1%,12.9%
2016-04-22,12.5%,11.8%,15.0%,11.9%,13.1%,12.9%
2016-04-23,12.5%,11.8%,15.0%,11.9%,13.1%,12.9%
2016-04-24,12.5%,11.8%,15.0%,11.9%,13.1%,12.9%
2016-04-25,12.5%,11.8%,15.0%,11.9%,13.1%,12.9%
2016-04-26,12.5%,11.8%,15.0%,11.9%,13.1%,12.9%
2016-04-27,12.5%,11.8%,15.0%,11.9%,13.1%,12.9%
2016-04-28,12.5%,11.8%,15.0%,11.9%,13.1%,12.9%
2016-04-29,12.5%,11.8%,15.0%,11.9%,13.1%,12.9%
2016-04-30,12.5%,11.8%,15.0%,11.9%,13.1%,12.9%
2016-05-01,12.5%,11.8%,15.0%,11.9%,13.1%,12.9%
2016-05-02,12.5%,11.8%,15.0%,11.9%,13.1%,12.9%
2016-05-03,12.5%,11.8%,15.0%,11.9%,13.1%,12.9%
2016-05-04,12.5%,11.8%,15.0%,11.9%,13.1%,12.9%
2016-05-05,12.5%,11.8%,15.0%,11.9%,13.1%,12.9%
2016-05-06,12.5%,11.8%,15.0%,11.9%,13.1%,12.9%
2016-05-07,12.5%,11.8%,15.0%,11.9%,13.1%,12.9%
2016-05-08,12.5%,11.8%,15.0%,11.9%,13.1%,12.9%
2016-05-09,12.5%,11.8%,15.0%,11.9%,13.1%,12.9%
2016-05-10,12.5%,11.8%,15.0%,11.9%,13.1%,12.9%
2016-05-11,12.5%,11.8%,15.0%,11.9%,13.1%,12.9%
2016-05-12,12.5%,11.8%,15.0%,11.9%,13.1%,12.9%
2016-05-13,12.5%,11.8%,15.0%,11.9%,13.1%,12.9%
2016-05-14,12.5%,11.8%,15.0%,11.9%,13.1%,12.9%
2016-05-15,12.5%,11.8%,15.0%,11.9%,13.1%,12.9%
2016-05-16,12.5%,11.8%,15.0%,11.9%,13.1%,12.9%
2016-05-17,12.5%,11.8%,15.0%,11.9%,13.1%,12.9%
2016-05-18,12.5%,11.8%,15.0%,11.9%,13.1%,12.9%
2016-05-19,12.5%,11.8%,15.0%,11.9%,13.1%,12.9%
2016-05-20,12.5%,11.8%,15.0%,11.9%,13.1%,12.9%
2016-05-21,12.5%,11.8%,15.0%,11.9%,13.1%,12.9%
2016-05-22,12.5%,11.8%,15.0%,11.9%,13.1%,12.9%
2016-05-23,12.5%,11.8%,15.0%,11.9%,13.1%,12.9%
2016-05-24,12.5%,11.8%,15.0%,11.9%,13.1%,12.9%
2016-05-25,12.5%,11.8%,15.0%,11.9%,13.1%,12.9%
2016-05-26,12.5%,11.8%,15.0%,11.9%,13.1%,12.9%
2016-05-27,12.5%,11.8%,15.0%,11.9%,13.1%,12.9%
2016-05-28,12.5%,11.8%,15.0%,11.9%,13.1%,12.9%
2016-05-29,12.5%,11.8%,15.0%,11.9%,13.1%,12.9%
2016-05-30,12.5%,11.8%,15.0%,11.9%,13.1%,12.9%
2016-05-31,12.5%,11.8%,15.0%,11.9%,13.1%,12.9%
2016-06-01,12.5%,11.8%,15.0%,11.9%,13.1%,12.9%
2016-06-02,12.5%,11.8%,15.0%,11.9%,13.1%,12.9%
2016-06-03,12.5%,11.8%,15.0%,11.9%,13.1%,12.9%
2016-06-04,12.5%,11.8%,15.0%,11.9%,13.1%,12.9%
2016-06-05,12.5%,11.8%,15.0%,11.9%,13.1%,12.9%
2016-06-06,12.5%,11.8%,15.0%,11.9%,13.1%,12.9%
2016-06-07,12.5%,11.8%,15.0%,11.9%,13.1%,12.9%
2016-06-08,12.5%,11.8%,15.0%,11.9%,13.1%,12.9%
2016-06-09,12.5%,11.8%,15.0%,11.9%,13.1%,12.9%
2016-06-10,12.5%,11.8%,15.0%,11.9%,13.1%,12.9%
2016-06-11,12.5%,11.8%,15.0%,11.9%,13.1%,12.9%
2016-06-12,12.5%,11.8%,15.0%,11.9%,13.1%,12.9%
2016-06-13,12.5%,11.8%,15.0%,11.9%,13.1%,12.9%
2016-06-14,12.5%,11.8%,15.0%,11.9%,13.1%,12.9%
2016-06-15,12.5%,11.8%,15.0%,11.9%,13.1%,12.9%
2016-06-16,12.5%,11.8%,15.0%,11.9%,13.1%,12.9%
2016-06-17,12.5%,11.8%,15.0%,11.9%,13.1%,12.9%
2016-06-18,12.5%,11.8%,15.0%,11.9%,13.1%,12.9%
2016-06-19,12.5%,11.8%,15.0%,11.9%,13.1%,12.9%
2016-06-20,12.5%,11.8%,15.0%,11.9%,13.1%,12.9%
2016-06-21,12.5%,11.8%,15.0%,11.9%,13.1%,12.9%
2016-06-22,12.5%,11.8%,15.0%,11.9%,13.1%,12.9%
2016-06-23,12.5%,11.8%,15.0%,11.9%,13.1%,12.9%
2016-06-24,12.5%,11.8%,15.0%,11.9%,13.1%,12.9%
2016-06-25,12.5%,11.8%,15.0%,11.9%,13.1%,12.9%
2016-06-26,12.5%,11.8%,15.0%,11.9%,13.1%,12.9%
