date,2020,last3,last1,home,away,2019
2016-01-01,0.600,0.667,1.000,0.722,0.417,0.596
2016-01-02,0.613,1.000,1.000,0.737,0.417,0.596
2016-01-03,0.613,1.000,1.000,0.737,0.417,0.596
2016-01-04,0.625,1.000,1.000,0.737,0.462,0.596
2016-01-05,0.625,1.000,1.000,0.737,0.462,0.596
2016-01-06,0.636,1.000,1.000,0.750,0.462,0.596
2016-01-07,0.636,1.000,1.000,0.750,0.462,0.596
2016-01-08,0.647,1.000,1.000,0.762,0.462,0.596
2016-01-09,0.647,1.000,1.000,0.762,0.462,0.596
2016-01-10,0.629,0.667,0.000,0.762,0.429,0.596
2016-01-11,0.629,0.667,0.000,0.762,0.429,0.596
2016-01-12,0.611,0.333,0.000,0.727,0.429,0.596
2016-01-13,0.595,0.000,0.000,0.727,0.400,0.596
2016-01-14,0.595,0.000,0.000,0.727,0.400,0.596
2016-01-15,0.605,0.333,1.000,0.727,0.438,0.596
2016-01-16,0.590,0.333,0.000,0.696,0.438,0.596
